study_name;model_label;seq_length;features_length;accuracy_avg;accuracy_std;pneumonia_precision_avg;pneumonia_precision_std;pneumonia_recall_std;pneumonia_recall_std;pneumonia_f1_avg;pneumonia_f1_std;covid_precision_avg;covid_precision_std;covid_recall_avg;covid_recall_std;covid_f1_avg;covid_f1_std;healthy_precision_avg;healthy_precision_std;healthy_recall_avg;healthy_recall_std;healthy_f1_avg;healthy_f1_std
experiment_1;inceptionresnetv2-15;15;1536;0.91;0.18;0.89;0.22;0.88;0.24;0.88;0.23;0.93;0.13;0.89;0.22;0.91;0.18;0.91;0.18;0.95;0.09;0.93;0.14
experiment_1;inceptionresnetv2-20;20;1536;0.91;0.18;0.88;0.25;0.88;0.19;0.88;0.22;0.94;0.09;0.91;0.18;0.92;0.14;0.91;0.17;0.92;0.15;0.92;0.16
experiment_1;mobilenetv2-5;5;1280;0.91;0.18;0.88;0.24;0.92;0.16;0.9;0.21;0.92;0.16;0.94;0.12;0.93;0.14;0.97;0.07;0.88;0.25;0.91;0.19
experiment_1;mobilenetv2-10;10;1280;0.89;0.22;0.88;0.25;0.86;0.28;0.87;0.27;0.9;0.2;0.89;0.22;0.9;0.21;0.89;0.22;0.91;0.18;0.9;0.21
experiment_1;mobilenetv2-15;15;1280;0.9;0.2;0.83;0.33;0.82;0.36;0.82;0.35;0.92;0.16;0.97;0.06;0.94;0.12;0.9;0.2;0.89;0.22;0.9;0.21
experiment_1;mobilenetv2-20;20;1280;0.88;0.21;0.88;0.23;0.86;0.19;0.87;0.21;0.87;0.19;0.86;0.28;0.86;0.24;0.9;0.2;0.92;0.15;0.91;0.18
experiment_1;nasnetlarge-5;5;4032;0.91;0.19;0.93;0.13;0.84;0.32;0.86;0.28;0.89;0.21;0.92;0.15;0.91;0.19;0.91;0.18;0.94;0.12;0.92;0.15
experiment_1;nasnetlarge-10;10;4032;0.85;0.23;0.87;0.26;0.8;0.25;0.8;0.24;0.84;0.21;0.88;0.25;0.86;0.23;0.87;0.19;0.86;0.28;0.86;0.24
experiment_1;nasnetlarge-15;15;4032;0.91;0.19;0.89;0.22;0.9;0.2;0.9;0.21;0.91;0.18;0.94;0.12;0.92;0.15;0.91;0.18;0.88;0.25;0.89;0.22
experiment_1;nasnetlarge-20;20;4032;0.92;0.14;0.91;0.17;0.86;0.23;0.88;0.21;0.91;0.14;0.94;0.12;0.93;0.13;0.93;0.13;0.95;0.09;0.94;0.11
